 JDAY =    36998.0417836533     
QIN:,15901.917055,.000000,.000000,.000000,
QTR:,.000000,.000000,.000000,
QDT:,147.061643,.000000,.000000,.000000,
QWD:,

SEG,BRANCH,ACTIVE,KT,WSE,SZ,Z,Q,QC,QERR,H2KT,H1KT,BHR1,BHR2,T1,T2,SUKT,UKT,AVHR,SELWS
1,1,I,144,172.290000,-.790000,-.790000,.000000,.000000,.000000,1.000000,1.000000,10.230000,10.230000,.000000,.000000,.000000,.000000,1.000000,172.290000
2,1,I,144,172.290000,.000000,.000000,15901.918081,15901.918081,.000000,1.000000,1.000000,10.220000,10.220000,.000000,.000000,.000000,.000000,1.000000,172.290000
3,1,I,144,176.888186,.000000,.000000,15901.917681,15901.917681,-.000367,1.000000,1.000000,10.260000,10.260000,.000000,.000000,.000000,.000000,1.000000,176.888186
4,1,I,144,175.984083,.000000,.000000,15901.917355,15901.917355,-.000005,1.000000,1.000000,10.725000,10.725000,.000000,.000000,.000000,.000000,1.000000,175.984083
5,1,I,144,174.555446,-21.079438,-21.305343,15901.917055,15901.917055,-.000031,1.000000,22.305343,2392.705050,26.750000,-259.414540,-259.414540,.000000,6.453036,22.305343,174.555446
6,1,A,144,179.805343,-21.079933,-21.305343,-361580.804445,-361582.130050,-.000367,22.079933,22.305343,2839.740961,2822.502863,13.165765,13.165765,-118.936579,-119.868609,18.274338,179.579933
7,1,A,144,171.743332,-13.281397,-13.243332,-268423.045604,-268422.920694,.000047,14.281397,14.243332,2267.908953,2274.686931,14.748084,14.748084,-87.524707,-88.223198,12.981819,171.781397
8,1,A,144,169.118156,-10.628073,-10.618156,-251531.613819,-251532.828866,-.000483,11.628073,11.618156,3043.096385,3028.793761,14.621397,14.621397,-53.764339,-54.674879,17.242630,169.128073
9,1,A,144,180.367105,-21.747742,-21.867105,-523431.233436,-523432.174498,-.000180,22.747742,22.867105,3672.989049,3663.573377,14.365646,14.365646,-85.521161,-86.132778,18.115563,180.247742
10,1,A,144,170.827831,-12.369514,-12.327831,-417173.201616,-417173.143489,.000014,13.369514,13.327831,3229.209793,3230.217215,14.589399,14.589399,-58.835074,-59.342598,14.248526,170.869514
11,1,A,144,172.450794,-13.924166,-13.950794,-466823.952647,-466823.963981,-.000002,14.924166,14.950794,4568.600400,4566.243819,14.534104,14.534104,-48.340280,-48.865409,15.054083,172.424166
12,1,A,144,172.668214,-14.174768,-14.168214,-443753.336280,-443753.017308,.000072,15.174768,15.168214,4391.523255,4393.744144,14.567329,14.567329,-44.626949,-44.973844,13.877406,172.674768
13,1,A,144,169.971307,-11.476266,-11.471307,-432854.513058,-432855.642874,-.000261,12.476266,12.471307,4567.769228,4560.902493,14.549666,14.549666,-30.814853,-31.239481,15.188293,169.976266
14,1,A,144,175.405279,-16.868471,-16.905279,-557010.394965,-557009.186904,.000217,17.868471,17.905279,4590.556929,4589.032716,14.386837,14.386837,-43.709556,-44.078958,15.035375,175.368471
15,1,A,144,169.665471,-11.209989,-11.165471,-457991.296561,-457991.163420,.000029,12.209989,12.165471,3168.653677,3169.502160,14.712691,14.712691,-52.900764,-53.486236,14.530783,169.709989
16,1,A,144,174.337903,-15.797921,-15.837903,-538710.447588,-538710.309457,.000026,16.797921,16.837903,3558.311297,3556.598326,14.442083,14.442083,-56.222464,-56.816497,15.766687,174.297921
17,1,A,144,171.886247,-13.417539,-13.386247,-445298.244551,-445297.338179,.000204,14.417539,14.386247,1886.016122,1923.624556,14.584243,14.584243,-54.715828,-55.440126,7.444165,171.917539
18,1,A,144,157.641194,.587417,.858806,292904.742034,292906.277900,-.000524,.412583,.141194,1590.019927,1626.662838,15.288246,15.288246,28.330779,28.498499,7.621485,157.912583
