Date,SPL_OUT,FKC_OUT,MC_OUT,SJR_OUT,M_IN,MIL_EVAP
1/1/2023,0,314,589,100,9962,12.25
1/2/2023,0,296,681,100,1726,17.88
1/3/2023,0,173,681,100,1290,27.41
1/4/2023,0,198,813,100,2845,3.31
1/5/2023,0,300,1047,663,5969,10.69
1/6/2023,0,301,1200,2299,3789,40.66
1/7/2023,0,300,1200,4447,1797,53.95
1/8/2023,0,295,1200,6310,1698,0.76
1/9/2023,0,99,1200,5447,14943,16.56
1/10/2023,0,0,1163,5260,16356,10.49
1/11/2023,0,0,1177,5856,8641,14.36
1/12/2023,0,0,1192,5493,6907,10.32
1/13/2023,0,312,1200,5366,5580,6.20
1/14/2023,0,499,1200,5057,6496,6.82
1/15/2023,0,433,1200,5111,9193,100.42
1/16/2023,0,342,1200,5056,7926,5.70
1/17/2023,0,328,1200,5222,5885,7.25
1/18/2023,0,466,1200,5324,3337,7.38
1/19/2023,0,517,1200,5318,4032,-89.56
1/20/2023,0,678,1200,4702,3526,12.02
1/21/2023,0,597,1200,3887,4182,5.86
1/22/2023,0,594,1200,3429,2947,9.80
1/23/2023,0,629,1200,2965,2772,7.96
1/24/2023,0,728,1200,2618,3107,8.28
1/25/2023,0,965,1200,2346,2550,10.84
1/26/2023,0,1963,1200,2088,1894,15.29
1/27/2023,0,2175,1200,1821,2395,38.06
1/28/2023,0,2238,1200,1548,2479,2.55
1/29/2023,0,2221,1200,1584,2400,8.53
1/30/2023,0,2204,1137,1306,2354,17.88
1/31/2023,0,2876,1020,819,2268,15.16
2/1/2023,0,3665,1051,341,2029,5.91
2/2/2023,0,3795,1113,253,2093,13.03
2/3/2023,0,3846,1129,250,1968,20.84
2/4/2023,0,4052,1084,215,2005,34.52
2/5/2023,0,4150,1063,166,2812,6.78
2/6/2023,0,4221,1025,119,3100,5.00
2/7/2023,0,4248,997,100,2325,11.75
2/8/2023,0,4195,1017,100,1906,15.24
2/9/2023,0,4138,1011,100,1969,13.14
2/10/2023,0,4082,1004,100,1977,9.59
2/11/2023,0,4027,960,100,2061,15.24
2/12/2023,0,3974,926,100,2265,12.51
2/13/2023,0,3922,921,100,2112,27.73
2/14/2023,0,3864,915,100,1735,17.40
2/15/2023,0,3808,896,100,2234,13.18
2/16/2023,0,3757,725,100,2154,11.77
2/17/2023,0,3708,616,100,2105,11.97
2/18/2023,0,3656,597,100,1828,14.92
2/19/2023,0,3601,595,100,1720,12.45
2/20/2023,0,3545,604,100,1849,14.32
2/21/2023,0,3482,606,100,1079,6.89
2/22/2023,0,3532,574,100,2714,4.07
2/23/2023,0,3783,561,100,2141,17.94
2/24/2023,0,3620,561,100,2735,8.98
2/25/2023,0,3328,551,100,5020,5.93
2/26/2023,0,3076,525,100,3050,5.26
2/27/2023,0,2886,500,100,3460,14.09
2/28/2023,0,2793,475,100,3554,4.63
3/1/2023,0,2276,461,100,4520,7.59
3/2/2023,0,2400,462,100,3080,14.67
3/3/2023,0,2507,462,100,1733,15.99
3/4/2023,0,2492,473,100,2721,0.36
3/5/2023,0,2493,502,100,3596,14.69
3/6/2023,0,2469,511,100,3376,13.64
3/7/2023,0,2356,511,100,2965,13.19
3/8/2023,0,2054,629,773,4839,15.14
3/9/2023,0,1705,601,2004,5943,8.01
3/10/2023,0,1353,750,2071,26083,20.24
3/11/2023,0,961,754,4634,29514,28.68
3/12/2023,0,1072,793,5536,17937,33.25
3/13/2023,0,989,780,5585,10324,15.82
3/14/2023,0,1018,950,5399,14908,13.41
3/15/2023,0,1051,1101,5447,22507,7.74
