Date,SPL_OUT,FKC_OUT,MC_OUT,SJR_OUT,M_IN,MIL_EVAP
1/1/2024,0,0,0,424,1602,7.801198255
1/2/2024,0,0,0,424,1364,5.153546765
1/3/2024,0,245,0,424,1503,8.097235042
1/4/2024,0,327,0,425,1717,2.318269058
1/5/2024,0,344,0,425,1701,-0.116727055
1/6/2024,0,0,0,425,2012,7.505167484
1/7/2024,0,0,0,426,1825,5.970774506
1/8/2024,0,176,0,427,1460,8.280687978
1/9/2024,0,173,0,427,1059,2.297423705
1/10/2024,0,0,0,427,1543,8
1/11/2024,0,173,0,427,1636,14.76847264
1/12/2024,0,278,0,427,1112,20.10964111
1/13/2024,0,100,0,427,1201,8.243178074
1/14/2024,0,0,0,427,2161,4.978440392
1/15/2024,0,325,0,427,2696,6.296006215
1/16/2024,0,250,0,427,2221,6.412748309
1/17/2024,0,300,0,428,1895,0.729682074
1/18/2024,0,0,0,428,1611,9.7942341
1/19/2024,0,178,0,428,1670,10.97421097
1/20/2024,0,0,0,428,1532,16.32787673
1/21/2024,0,0,0,426,888,6.204273732
1/22/2024,0,0,0,422,1735,7.367563496
1/23/2024,0,165,0,415,1209,0.070890139
1/24/2024,0,216,0,415,1288,5
1/25/2024,0,0,0,379,1337,5.99578562
1/26/2024,0,214,0,415,999,6.475284366
1/27/2024,0,0,0,415,1030,7.538511626
1/28/2024,0,25,0,415,867,20.71421648
1/29/2024,0,602,0,439,1219,15.54400516
1/30/2024,0,602,0,484,1521,1.834595527
1/31/2024,0,602,0,524,1390,28.11096287
2/1/2024,0,602,0,545,1648,5.974941772
2/2/2024,0,602,0,545,1822,28.83645812
2/3/2024,0,478,0,545,1316,30
2/4/2024,0,420,0,546,1916,15.92761769
2/5/2024,0,53,0,547,2320,6.433604188
2/6/2024,0,0,0,555,2385,79.16684605
2/7/2024,0,153,0,560,2412,6.016649019
2/8/2024,0,0,0,560,2198,9.310569592
2/9/2024,0,275,0,560,1957,11.69970773
2/10/2024,0,400,0,560,1977,10.53223567
2/11/2024,0,400,0,560,1633,13.40503832
2/12/2024,0,298,0,561,1369,8.493338844
2/13/2024,0,365,0,561,1783,13.97627105
2/14/2024,0,373,0,552,2032,10.34043767
2/15/2024,0,372,0,547,1615,6.17091004
2/16/2024,0,347,0,547,1606,4.432224789
2/17/2024,0,264,0,547,2155,95.21952082
2/18/2024,0,262,0,541,1908,30.11652607
2/19/2024,0,262,0,501,2899,12.89220896
2/20/2024,0,310,0,506,3142,14.03881914
2/21/2024,0,426,0,520,2469,15.99015375
2/22/2024,0,561,0,520,2249,9.506539364
2/23/2024,0,568,0,520,2368,17.19096394
2/24/2024,0,548,0,520,1124,18.95050207
2/25/2024,0,606,0,520,971,11.6288176
2/26/2024,0,776,0,521,1657,16.96998306
2/27/2024,0,904,0,537,1826,15.28549933
2/28/2024,0,955,0,545,2329,19.7135358
2/29/2024,0,897,0,545,2103,15.32302127
3/1/2024,0,805,0,545,1872,4.461416704
3/2/2024,0,698,0,545,3007,17.85393818
3/3/2024,0,648,0,545,2803,23.991474
3/4/2024,0,734,0,546,2154,9.21882959
3/5/2024,0,801,0,546,1633,4.878350819
3/6/2024,0,889,0,546,1697,14.022123
3/7/2024,0,912,0,540,1525,25.03384689
3/8/2024,0,717,0,524,1385,7.709459757
3/9/2024,0,498,0,524,1247,19.87614188
3/10/2024,0,498,0,524,1240,18.70867433
3/11/2024,0,498,0,524,1259,4.878350819
3/12/2024,0,562,0,524,1348,10.49887047
3/13/2024,0,607,0,524,1082,34.35275402
3/14/2024,0,541,0,524,2209,27.61062478
3/15/2024,0,448,0,526,1898,20.63083958
3/16/2024,0,447,0,526,2250,41.07820517
3/17/2024,0,447,0,526,2339,5.345353783
3/18/2024,0,554,0,526,2617,25.98451436
3/19/2024,0,626,0,526,2513,29.39936234
3/20/2024,0,653,0,537,2928,22.4821147
3/21/2024,0,616,0,546,2822,37.71340348
3/22/2024,0,460,0,544,2955,40
3/23/2024,0,374,0,546,3179,40
3/24/2024,0,429,0,547,2819,17.0283714
3/25/2024,0,442,0,547,2577,22.91157768
3/26/2024,0,396,0,547,2733,15.89426152
3/27/2024,0,375,0,548,2647,18.17082784
3/28/2024,0,308,0,548,2912,22.99914741
3/29/2024,0,272,0,548,3386,20.58083089
3/30/2024,0,239,0,549,4128,15.0770428
3/31/2024,0,368,0,1010,3344,30.3041553
4/1/2024,0,540,0,1010,3263,30.47093466
4/2/2024,0,650,0,960,3233,47.7202689
4/3/2024,0,793,0,910,3184,9.014543333
4/4/2024,0,732,0,860,3227,16.52386455
4/5/2024,0,585,0,810,3208,23.12422253
4/6/2024,0,503,0,760,2755,25.08806496
4/7/2024,0,709,0,710,2543,38.51394111
4/8/2024,0,1126,186,710,2867,11.63298787
4/9/2024,0,1387,322,710,2677,35.65364025
4/10/2024,0,1702,511,660,3385,51.47282933
4/11/2024,0,1759,733,660,3703,60.2830443
4/12/2024,0,1293,851,660,3569,21.84416962
4/13/2024,0,958,827,610,3403,9.156302556
4/14/2024,0,1005,731,610,3847,16.24865958
4/15/2024,0,1388,682,610,3391,16.46130293
4/16/2024,0,1562,670,570,3346,32.48479631
4/17/2024,0,1723,670,570,3340,27.86913212
4/18/2024,0,1872,670,570,3740,31.30481793
4/19/2024,0,1577,614,530,2977,38.66403637
4/20/2024,0,1451,535,530,2917,40.92808886
4/21/2024,0,1804,586,530,3229,51.04339492
4/22/2024,0,2432,678,500,6486,41.77455514
4/23/2024,0,2666,777,500,8476,11.27862139
4/24/2024,0,2572,876,500,7919,79.68805204
4/25/2024,0,2358,904,470,6741,13.54267389
4/26/2024,0,1747,826,470,7035,33.67312877
4/27/2024,0,1412,752,470,5093,45.11014686
4/28/2024,0,1538,777,460,5205,48.92526741
4/29/2024,0,1956,875,460,5946,45.57713178
4/30/2024,0,2694,936,460,6362,45.6897021
5/1/2024,0,3366,985,505,6526,43.98436249
5/2/2024,0,3605,1004,505,6566,51.42695783
5/3/2024,0,3692,996,505,5692,9.619123215
5/4/2024,0,3744,926,505,7360,40.31100267
5/5/2024,0,3813,927,505,6268,32.0803294
5/6/2024,0,3992,967,505,4411,38.50973624
5/7/2024,0,4029,967,505,4069,41.28663614
5/8/2024,0,4110,1001,505,4184,52.91963153
5/9/2024,0,3986,1054,505,5038,52.60691515
5/10/2024,0,3389,1096,505,4456,58.9529466
5/11/2024,0,3099,1057,505,5040,72.34548162
5/12/2024,0,3025,1041,505,5803,54.59581381
5/13/2024,0,3464,1111,505,7318,48.7125985
5/14/2024,0,3927,1110,505,6754,60.36643924
5/15/2024,0,4366,1132,505,8066,57.80634094
5/16/2024,0,5103,1151,505,7784,54.6208174
5/17/2024,0,5143,1106,505,7133,64.86119558
5/18/2024,0,5117,1063,505,8210,65
5/19/2024,0,6516,1081,505,7977,63.36432905
5/20/2024,0,5104,1117,505,7766,47.77861664
5/21/2024,0,5070,1117,505,6334,81.83531733
5/22/2024,0,5104,1117,505,6156,34.91144134
5/23/2024,0,5100,1117,505,5366,49.6048656
5/24/2024,0,5096,1116,455,6019,52.96132975
5/25/2024,0,4928,1101,455,5373,44.73068054
5/26/2024,0,4792,1112,455,5145,62.79724854
5/27/2024,0,4530,1127,455,5212,59.16976473
5/28/2024,0,4399,1114,455,5503,51.84390848
5/29/2024,0,4433,1096,455,5843,68.94314446
5/30/2024,0,4433,1074,395,5999,106.7107389
5/31/2024,0,4434,1060,395,6902,98.94707014
6/1/2024,0,4402,1083,395,6251,135.3804027
6/2/2024,0,4403,1083,395,6118,81.86450924
6/3/2024,0,4403,1099,395,5848,52.46099468
6/4/2024,0,4402,1160,395,5570,66.8625464
6/5/2024,0,4401,1175,395,5793,76.60257597
6/6/2024,0,4402,1160,395,6789,67.6422868
6/7/2024,0,3641,1047,395,8018,84.02852179
6/8/2024,0,2714,950,395,6252,45.42702599
6/9/2024,0,2813,973,395,5963,61.99255568
6/10/2024,0,3501,1006,295,6730,65.03212115
6/11/2024,0,4304,1036,295,6089,82.71091536
6/12/2024,0,4899,1077,295,5949,79.16681297
6/13/2024,0,4896,1097,295,5447,72.58729282
6/14/2024,0,4811,1077,295,4895,64.96955351
6/15/2024,0,4637,1030,295,3712,97.30006925
6/16/2024,0,4783,993,295,3573,81.05141719
6/17/2024,0,4529,1000,295,3151,54.09959787
6/18/2024,0,4149,971,295,3419,65.87850772
6/19/2024,0,4057,897,295,2748,89.29040995
6/20/2024,0,4010,881,295,2963,31.97608309
6/21/2024,0,3566,894,295,2763,31.83016261
6/22/2024,0,2841,892,295,3089,119.8322152
6/23/2024,0,3017,892,295,3118,60.23297695
6/24/2024,0,3357,879,295,2848,78.20363467
6/25/2024,0,3352,864,295,2246,74.58448841
6/26/2024,0,3358,878,295,2579,69.60190331
6/27/2024,0,3323,866,295,2592,53.39911523
6/28/2024,0,3093,850,295,2124,73.26275532
6/29/2024,0,2661,830,295,2437,68.87224229
6/30/2024,0,2774,850,295,2552,63.14330906
7/1/2024,0,3571,878,320,3217,43.75917374
7/2/2024,0,3899,905,320,3536,64.85697267
7/3/2024,0,3890,918,320,2583,81.96871946
7/4/2024,0,3688,948,320,2779,69.7811965
7/5/2024,0,3157,969,320,2823,71.87848016
7/6/2024,0,2761,948,320,3304,75.53098109
7/7/2024,0,3222,904,320,3283,84.28697498
7/8/2024,0,3919,904,320,2811,80
7/9/2024,0,3222,904,320,2018,50
7/10/2024,0,4337,915,320,2363,46.34008431
7/11/2024,0,4293,892,320,1740,62.16761844
