Date,SPL_OUT,FKC_OUT,MC_OUT,SJR_OUT,M_IN,MIL_EVAP
1/1/2024,0,0,0,424,1602,-7.8
1/2/2024,0,0,0,424,1364,-7.8
1/3/2024,0,245,0,424,1503,-5.15
1/4/2024,0,327,0,425,1717,-8.09
1/5/2024,0,344,0,425,1701,-2.32
1/6/2024,0,0,0,425,2012,0.12
1/7/2024,0,0,0,426,1825,-7.5
1/8/2024,0,176,0,427,1460,-5.97
1/9/2024,0,173,0,427,1059,-8.28
1/10/2024,0,0,0,427,1543,-2.3
1/11/2024,0,173,0,427,1636,164.93
1/12/2024,0,278,0,427,1112,-14.76
1/13/2024,0,100,0,427,1201,-20.1
1/14/2024,0,0,0,427,2161,-8.24
1/15/2024,0,325,0,427,2696,-4.98
1/16/2024,0,250,0,427,2221,-6.29
1/17/2024,0,300,0,428,1895,-6.41
1/18/2024,0,0,0,428,1611,-0.73
1/19/2024,0,178,0,428,1670,-9.79
1/20/2024,0,0,0,428,1532,-10.97
1/21/2024,0,0,0,426,888,-16.32
1/22/2024,0,0,0,422,1735,-6.2
1/23/2024,0,165,0,415,1209,-7.36
1/24/2024,0,216,0,415,1288,-0.07
1/25/2024,0,0,0,379,1337,-263.76
1/26/2024,0,214,0,415,999,-5.99
1/27/2024,0,0,0,415,1030,-6.47
1/28/2024,0,25,0,415,867,-7.53
1/29/2024,0,602,0,439,1219,-20.7
1/30/2024,0,602,0,484,1521,-15.53
1/31/2024,0,602,0,524,1390,-1.83
2/1/2024,0,602,0,545,1648,-28.09
2/2/2024,0,602,0,545,1822,-5.97
2/3/2024,0,478,0,545,1316,-28.82
2/4/2024,0,420,0,546,1916,-103.5
2/5/2024,0,53,0,547,2320,-15.92
2/6/2024,0,0,0,555,2385,-6.43
2/7/2024,0,153,0,560,2412,-79.11
2/8/2024,0,0,0,560,2198,-6.01
2/9/2024,0,275,0,560,1957,-9.3
2/10/2024,0,400,0,560,1977,-11.69
2/11/2024,0,400,0,560,1633,-10.53
2/12/2024,0,298,0,561,1369,-13.4
2/13/2024,0,365,0,561,1783,-8.49
2/14/2024,0,373,0,552,2032,-13.97
2/15/2024,0,372,0,547,1615,-10.33
2/16/2024,0,347,0,547,1606,-6.17
2/17/2024,0,264,0,547,2155,-4.43
2/18/2024,0,262,0,541,1908,-95.15
2/19/2024,0,262,0,501,2899,-30.1
2/20/2024,0,310,0,506,3142,-12.88
2/21/2024,0,426,0,520,2469,-14.03
2/22/2024,0,561,0,520,2249,-15.98
2/23/2024,0,568,0,520,2368,-9.5
2/24/2024,0,548,0,520,1124,-17.18
2/25/2024,0,606,0,520,971,-18.94
2/26/2024,0,776,0,521,1657,-11.62
2/27/2024,0,904,0,537,1826,-16.96
2/28/2024,0,955,0,545,2329,-15.28
2/29/2024,0,897,0,545,2103,-19.7
3/1/2024,0,805,0,545,1872,-15.31
3/2/2024,0,698,0,545,3007,-4.46
3/3/2024,0,648,0,545,2803,-17.84
3/4/2024,0,734,0,546,2154,-23.97
3/5/2024,0,801,0,546,1633,-9.21
3/6/2024,0,889,0,546,1697,-4.88
3/7/2024,0,912,0,540,1525,-14.01
3/8/2024,0,717,0,524,1385,-25.02
3/9/2024,0,498,0,524,1247,-7.7
3/10/2024,0,498,0,524,1240,-19.86
3/11/2024,0,498,0,524,1259,-18.7
3/12/2024,0,562,0,524,1348,-4.88
