Date,SPL_OUT,FKC_OUT,MC_OUT,SJR_OUT,M_IN,MIL_EVAP
1/1/2024,0,0,324,100,1602,-7.8
1/2/2024,0,0,324,100,1364,-7.8
1/3/2024,0,245,324,100,1503,-5.2
1/4/2024,0,327,325,100,1717,-8.1
1/5/2024,0,344,325,100,1701,-2.3
1/6/2024,0,0,325,100,2012,0.1
1/7/2024,0,0,326,100,1825,-7.5
1/8/2024,0,176,327,100,1460,-6.0
1/9/2024,0,173,327,100,1059,-8.3
1/10/2024,0,0,327,100,1543,-2.3
1/11/2024,0,173,327,100,1636,164.9
1/12/2024,0,278,327,100,1112,-14.8
1/13/2024,0,100,327,100,1201,-20.1
1/14/2024,0,0,327,100,2161,-8.2
1/15/2024,0,325,327,100,2696,-5.0
1/16/2024,0,250,327,100,2221,-6.3
1/17/2024,0,300,328,100,1895,-6.4
1/18/2024,0,0,328,100,1611,-0.7
1/19/2024,0,178,328,100,1670,-9.8
1/20/2024,0,0,328,100,1532,-11.0
1/21/2024,0,0,326,100,888,-16.3
1/22/2024,0,0,322,100,1735,-6.2
1/23/2024,0,165,315,100,1209,-7.4
1/24/2024,0,216,315,100,1288,-0.1
1/25/2024,0,0,279,100,1337,-263.8
1/26/2024,0,214,315,100,999,-6.0
1/27/2024,0,0,315,100,1030,-6.5
1/28/2024,0,25,315,100,867,-7.5
1/29/2024,0,602,339,100,1219,-20.7
1/30/2024,0,602,350,134,1521,-15.5
1/31/2024,0,602,350,174,1390,-1.8
2/1/2024,0,602,350,195,1648,-28.1
2/2/2024,0,602,350,195,1822,-6.0
2/3/2024,0,478,350,195,1316,-28.8
2/4/2024,0,420,350,196,1916,-103.5
2/5/2024,0,53,350,197,2320,-15.9
2/6/2024,0,0,350,205,2385,-6.4
2/7/2024,0,153,350,210,2412,-79.1
2/8/2024,0,0,350,210,2198,-6.0
2/9/2024,0,275,350,210,1957,-9.3
2/10/2024,0,400,350,210,1977,-11.7
2/11/2024,0,400,350,210,1633,-10.5
2/12/2024,0,298,350,211,1369,-13.4
2/13/2024,0,365,350,211,1783,-8.5
2/14/2024,0,373,350,202,2032,-14.0
2/15/2024,0,372,350,197,1615,-10.3
2/16/2024,0,347,350,197,1606,-6.2
2/17/2024,0,264,350,197,2155,-4.4
2/18/2024,0,262,350,191,1908,-95.2
2/19/2024,0,262,350,151,2899,-30.1
2/20/2024,0,310,350,156,3142,-12.9
2/21/2024,0,426,350,170,2469,-14.0
2/22/2024,0,561,350,170,2249,-16.0
2/23/2024,0,568,350,170,2368,-9.5
2/24/2024,0,548,350,170,1124,-17.2
2/25/2024,0,606,350,170,971,-18.9
2/26/2024,0,776,350,171,1657,-11.6
2/27/2024,0,904,350,187,1826,-17.0
2/28/2024,0,955,350,195,2329,-15.3
2/29/2024,0,897,350,195,2103,-19.7
3/1/2024,0,805,350,195,1872,-15.3
3/2/2024,0,698,350,195,3007,-4.5
3/3/2024,0,648,350,195,2803,-17.8
3/4/2024,0,734,350,196,2154,-24.0
3/5/2024,0,801,350,196,1633,-9.2
3/6/2024,0,889,350,196,1697,-4.9
3/7/2024,0,912,350,190,1525,-14.0
3/8/2024,0,717,350,174,1385,-25.0
3/9/2024,0,498,350,174,1247,-7.7
3/10/2024,0,498,350,174,1240,-19.9
3/11/2024,0,498,350,174,1259,-18.7
3/12/2024,0,562,350,174,1348,-4.9
3/13/2024,0,607,350,174,1082,-10.5
3/14/2024,0,541,350,174,2209,-34.3
3/15/2024,0,448,350,176,1898,-27.6
3/16/2024,0,447,350,176,2250,-20.6
3/17/2024,0,447,350,176,2339,-41.1
3/18/2024,0,554,350,176,2617,-5.3
3/19/2024,0,626,350,176,2513,-26.0
3/20/2024,0,653,350,187,2928,-29.4
3/21/2024,0,616,350,196,2822,-22.5
3/22/2024,0,460,350,194,2955,-37.7
3/23/2024,0,374,350,196,3179,-2094.1
3/24/2024,0,429,350,197,2819,2062.8
3/25/2024,0,442,350,197,2577,-17.0
3/26/2024,0,396,350,197,2733,-22.9
3/27/2024,0,375,350,198,2647,-15.9
3/28/2024,0,308,350,198,2912,-18.2
3/29/2024,0,272,350,198,3386,-23.0
3/30/2024,0,239,350,199,4128,-20.6
3/31/2024,0,368,350,199,3344,-15.1
4/1/2024,0,540,350,199,3263,-30.3
4/2/2024,0,650,350,200,3233,-30.4
4/3/2024,0,793,350,201,3184,-47.7
4/4/2024,0,732,350,201,3227,-9.0
4/5/2024,0,585,350,201,3208,-16.5
4/6/2024,0,503,350,198,2755,-23.1
4/7/2024,0,709,350,197,2543,-25.1
4/8/2024,0,1126,536,197,2867,-38.5
4/9/2024,0,1387,672,198,2677,-11.6
4/10/2024,0,1702,861,197,3385,-35.6
4/11/2024,0,1759,1083,197,3703,-51.4
4/12/2024,0,1293,1175,223,3569,-60.2
4/13/2024,0,958,1175,199,3403,-21.8
