Date,Flow(cfs)
1/1/2023,6933
1/2/2023,2159
1/3/2023,1320
1/4/2023,3167
1/5/2023,5445
1/6/2023,3142
1/7/2023,1610
1/8/2023,1430
1/9/2023,10462
1/10/2023,11419
1/11/2023,8773
1/12/2023,6234
1/13/2023,5392
1/14/2023,5921
1/15/2023,7328
1/16/2023,6613
1/17/2023,4966
1/18/2023,4020
1/19/2023,3682
1/20/2023,3304
1/21/2023,3046
1/22/2023,2925
1/23/2023,2527
1/24/2023,1134
1/25/2023,45
1/26/2023,40
1/27/2023,39
1/28/2023,40
1/29/2023,39
1/30/2023,38
1/31/2023,38
2/1/2023,37
2/2/2023,37
2/3/2023,35
2/4/2023,35
2/5/2023,36
2/6/2023,35
2/7/2023,35
2/8/2023,35
2/9/2023,64
2/10/2023,35
2/11/2023,35
2/12/2023,35
2/13/2023,35
2/14/2023,35
2/15/2023,34
2/16/2023,34
2/17/2023,33
2/18/2023,33
2/19/2023,33
2/20/2023,33
2/21/2023,33
2/22/2023,33
2/23/2023,33
2/24/2023,37
2/25/2023,40
2/26/2023,37
2/27/2023,37
2/28/2023,37
3/1/2023,40
3/2/2023,37
3/3/2023,35
3/4/2023,35
3/5/2023,36
3/6/2023,34
3/7/2023,34
3/8/2023,1518
3/9/2023,4131
3/10/2023,19112
3/11/2023,22457
3/12/2023,13638
3/13/2023,10401
3/14/2023,11559
3/15/2023,18285
3/16/2023,11584
3/17/2023,9825
3/18/2023,8793
3/19/2023,8583
3/20/2023,9351
3/21/2023,8401
3/22/2023,7917
3/23/2023,6159
3/24/2023,4508
3/25/2023,6178
3/26/2023,6098
3/27/2023,3610
3/28/2023,1170
3/29/2023,1147
3/30/2023,1071
3/31/2023,773
4/1/2023,376
4/2/2023,362
4/3/2023,481
4/4/2023,265
4/5/2023,2440
4/6/2023,857
4/7/2023,45
4/8/2023,43
4/9/2023,44
4/10/2023,890
4/11/2023,3262
4/12/2023,4652
4/13/2023,3456
4/14/2023,3311
4/15/2023,2054
4/16/2023,3624
4/17/2023,4438
4/18/2023,3188
4/19/2023,2782
4/20/2023,2012
4/21/2023,2081
4/22/2023,5520
4/23/2023,6657
4/24/2023,10481
4/25/2023,10924
4/26/2023,11031
4/27/2023,10280
4/28/2023,8386
4/29/2023,9003
4/30/2023,9680
5/1/2023,10452
5/2/2023,7705
5/3/2023,4466
5/4/2023,3075
5/5/2023,2349
5/6/2023,2889
5/7/2023,2660
5/8/2023,3126
5/9/2023,3781
5/10/2023,3248
5/11/2023,3502
5/12/2023,4989
5/13/2023,6926
5/14/2023,8580
5/15/2023,8619
5/16/2023,8594
5/17/2023,8687
5/18/2023,10159
5/19/2023,9599
5/20/2023,10844
5/21/2023,10659
5/22/2023,10872
5/23/2023,10997
5/24/2023,11147
5/25/2023,9666
5/26/2023,8902
5/27/2023,8108
5/28/2023,8982
5/29/2023,9759
5/30/2023,11377
5/31/2023,10173
6/1/2023,10397
6/2/2023,9878
6/3/2023,9634
6/4/2023,10382
6/5/2023,10729
6/6/2023,12107
6/7/2023,10707
6/8/2023,9135
6/9/2023,9130
6/10/2023,9159
6/11/2023,8874
6/12/2023,8168
6/13/2023,7728
6/14/2023,9576
6/15/2023,10496
6/16/2023,10289
6/17/2023,10689
6/18/2023,10305
6/19/2023,10451
6/20/2023,9357
6/21/2023,7453
6/22/2023,6746
6/23/2023,6468
6/24/2023,6631
6/25/2023,5894
6/26/2023,6671
6/27/2023,7081
6/28/2023,5992
6/29/2023,6139
6/30/2023,7223
7/1/2023,7918
7/2/2023,9376
7/3/2023,10253
7/4/2023,10801
7/5/2023,11920
7/6/2023,9150
7/7/2023,8140
7/8/2023,7986
7/9/2023,7277
7/10/2023,7314
7/11/2023,6381
7/12/2023,5315
7/13/2023,3895
7/14/2023,3725
7/15/2023,3411
7/16/2023,4210
7/17/2023,4660
7/18/2023,4636
7/19/2023,4958
7/20/2023,4273
7/21/2023,3173
7/22/2023,3623
7/23/2023,2867
7/24/2023,2077
7/25/2023,1523
7/26/2023,1069
