 JDAY,WB,VOLIN(m3),VOLPR(m3),VOLOUT(m3),VOLWD(m3),VOLEV(m3),VOLDT(m3),VOLTRB(m3),VOLICE(m3),%VOLerror,
 37630.042,   1,  0.26280000E+05,   0.00000000E+00,  -0.73765000E+04,   0.00000000E+00,   0.00000000E+00,   0.76500000E+02,   0.00000000E+00,   0.00000000E+00,   0.56502914E-09,
 37631.042,   1,  0.39028145E+07,   0.00000000E+00,  -0.12755207E+07,   0.00000000E+00,   0.00000000E+00,   0.21519232E+06,   0.00000000E+00,   0.00000000E+00,   0.69783430E-11,
 37632.042,   1,  0.72098245E+07,   0.00000000E+00,  -0.28812374E+07,   0.00000000E+00,   0.00000000E+00,   0.38040116E+06,   0.00000000E+00,   0.00000000E+00,   0.22348438E-11,
 37633.042,   1,  0.10050723E+08,   0.00000000E+00,  -0.43698969E+07,   0.00000000E+00,   0.00000000E+00,   0.33711984E+06,   0.00000000E+00,   0.00000000E+00,  -0.35593665E-12,
 37634.042,   1,  0.14262896E+08,   0.00000000E+00,  -0.55274915E+07,   0.00000000E+00,   0.00000000E+00,   0.30378185E+06,   0.00000000E+00,   0.00000000E+00,  -0.26787639E-12,
 37635.045,   1,  0.20297940E+08,   0.00000000E+00,  -0.70133891E+07,   0.00000000E+00,   0.00000000E+00,   0.28803621E+06,   0.00000000E+00,   0.00000000E+00,   0.49400043E-12,
 37636.042,   1,  0.26221992E+08,   0.00000000E+00,  -0.87420610E+07,   0.00000000E+00,   0.00000000E+00,   0.27414808E+06,   0.00000000E+00,   0.00000000E+00,  -0.41964925E-12,
 37637.042,   1,  0.31224864E+08,   0.00000000E+00,  -0.10466126E+08,   0.00000000E+00,   0.00000000E+00,   0.25860328E+06,   0.00000000E+00,   0.00000000E+00,  -0.49629098E-12,
 37638.046,   1,  0.35518531E+08,   0.00000000E+00,  -0.11859556E+08,   0.00000000E+00,   0.00000000E+00,   0.25049236E+06,   0.00000000E+00,   0.00000000E+00,  -0.60762444E-12,
 37639.043,   1,  0.39507439E+08,   0.00000000E+00,  -0.13134098E+08,   0.00000000E+00,   0.00000000E+00,   0.23660677E+06,   0.00000000E+00,   0.00000000E+00,  -0.10499624E-11,
 37640.042,   1,  0.43404758E+08,   0.00000000E+00,  -0.14379430E+08,   0.00000000E+00,   0.00000000E+00,   0.21102482E+06,   0.00000000E+00,   0.00000000E+00,  -0.25483858E-13,
 37641.042,   1,  0.46305694E+08,   0.00000000E+00,  -0.15425509E+08,   0.00000000E+00,   0.00000000E+00,   0.17718198E+06,   0.00000000E+00,   0.00000000E+00,  -0.95958407E-12,
 37642.042,   1,  0.49596073E+08,   0.00000000E+00,  -0.16461134E+08,   0.00000000E+00,   0.00000000E+00,   0.15059435E+06,   0.00000000E+00,   0.00000000E+00,  -0.67151213E-12,
 37643.042,   1,  0.53146100E+08,   0.00000000E+00,  -0.17703787E+08,   0.00000000E+00,   0.00000000E+00,   0.13364400E+06,   0.00000000E+00,   0.00000000E+00,  -0.11937321E-11,
 37644.043,   1,  0.56218987E+08,   0.00000000E+00,  -0.19194654E+08,   0.00000000E+00,   0.00000000E+00,   0.12468300E+06,   0.00000000E+00,   0.00000000E+00,  -0.11832884E-11,
 37645.042,   1,  0.59424321E+08,   0.00000000E+00,  -0.20400098E+08,   0.00000000E+00,   0.00000000E+00,  -0.22437881E+06,   0.00000000E+00,   0.00000000E+00,  -0.10177326E-11,
 37646.046,   1,  0.62265932E+08,   0.00000000E+00,  -0.21669053E+08,   0.00000000E+00,   0.00000000E+00,  -0.52846712E+06,   0.00000000E+00,   0.00000000E+00,   0.13016142E-12,
 37647.047,   1,  0.64758786E+08,   0.00000000E+00,  -0.22923955E+08,   0.00000000E+00,   0.00000000E+00,  -0.54367781E+06,   0.00000000E+00,   0.00000000E+00,   0.31396044E-11,
 37648.044,   1,  0.67045518E+08,   0.00000000E+00,  -0.23967027E+08,   0.00000000E+00,   0.00000000E+00,  -0.56056584E+06,   0.00000000E+00,   0.00000000E+00,   0.51693705E-11,
 37649.047,   1,  0.69656901E+08,   0.00000000E+00,  -0.25861559E+08,   0.00000000E+00,   0.00000000E+00,  -0.59691271E+06,   0.00000000E+00,   0.00000000E+00,   0.82786857E-11,
 37650.047,   1,  0.73042027E+08,   0.00000000E+00,  -0.28467094E+08,   0.00000000E+00,   0.00000000E+00,  -0.64067909E+06,   0.00000000E+00,   0.00000000E+00,   0.13617520E-10,
 37651.047,   1,  0.76591318E+08,   0.00000000E+00,  -0.31181033E+08,   0.00000000E+00,   0.00000000E+00,  -0.66028219E+06,   0.00000000E+00,   0.00000000E+00,   0.21827130E-10,
 37652.042,   1,  0.80297675E+08,   0.00000000E+00,  -0.33934964E+08,   0.00000000E+00,   0.00000000E+00,  -0.69948624E+06,   0.00000000E+00,   0.00000000E+00,   0.27786700E-10,
 37653.043,   1,  0.84562157E+08,   0.00000000E+00,  -0.36742848E+08,   0.00000000E+00,   0.00000000E+00,  -0.73917348E+06,   0.00000000E+00,   0.00000000E+00,   0.26744699E-10,
 37654.043,   1,  0.88349770E+08,   0.00000000E+00,  -0.39384780E+08,   0.00000000E+00,   0.00000000E+00,  -0.78450057E+06,   0.00000000E+00,   0.00000000E+00,   0.26737038E-10,
