JDAY,DLT(s),ELWS(m),T2(C),U(ms-1),Q(m3s-1),SRON(Wm-2),EXT(m-1),DEPTH(m),WIDTH(m),SHADE,Tvolavg(C),NetRad(Wm-2),SWSolar(Wm-2),LWRad(Wm-2),BackRad(Wm-2),EvapF(Wm-2),ConducF(Wm-2),ReaerationCoeff(day-1),
 37630.042,   600.000,   155.820,    11.570,     0.000,     0.000,     0.000,     0.250,    63.320,  1337.130,     1.000,    10.838,  -134.870,     0.000,   265.592,   362.096,    29.231,     9.135,     0.000,
 37631.042,    90.956,   156.037,    11.128,     0.000,     0.000,     0.000,     0.250,    63.537,  1337.130,     1.000,    10.737,  -160.087,     0.000,   254.590,   359.856,    37.694,    17.127,     0.000,
 37632.042,    57.449,   156.180,    10.962,     0.000,     0.000,     0.000,     0.250,    63.680,  1337.130,     1.000,    10.641,  -180.198,     0.000,   263.347,   359.013,    53.082,    31.449,     0.000,
 37633.042,    78.354,   156.281,    10.814,     0.000,     0.000,     0.000,     0.250,    63.781,  1337.130,     1.000,    10.526,  -137.208,     0.000,   281.081,   358.268,    39.427,    20.594,     0.000,
 37634.042,    62.684,   156.512,    10.663,     0.000,     0.000,     0.000,     0.250,    64.012,  1381.320,     1.000,    10.425,  -126.124,     0.000,   273.793,   357.505,    28.502,    13.909,     0.000,
 37635.045,   383.094,   156.850,    10.628,     0.000,     0.000,     0.000,     0.250,    64.350,  1381.320,     1.000,    10.339,  -114.003,     0.000,   271.191,   357.331,    19.151,     8.713,     0.000,
 37636.042,    79.964,   157.164,    10.551,     0.000,     0.000,     0.000,     0.250,    64.664,  1381.320,     1.000,    10.229,   -88.353,     0.000,   295.216,   356.938,    17.135,     9.495,     0.000,
 37637.042,    89.774,   157.408,    10.485,     0.000,     0.000,     0.000,     0.250,    64.908,  1381.320,     1.000,    10.138,   -86.299,     0.000,   288.964,   356.610,    13.256,     5.397,     0.000,
 37638.046,   489.543,   157.620,    10.469,     0.000,     0.000,     0.000,     0.250,    65.120,  1448.550,     1.000,    10.065,   -67.053,     0.000,   299.988,   356.536,     8.899,     1.607,     0.000,
 37639.043,   109.585,   157.818,    10.431,     0.000,     0.000,     0.000,     0.250,    65.318,  1448.550,     1.000,    10.010,   -69.238,     0.000,   298.052,   356.335,    11.290,    -0.335,     0.000,
 37640.042,    60.065,   158.009,    10.419,     0.000,     0.000,     0.000,     0.250,    65.509,  1448.550,     1.000,     9.950,   -38.842,     0.000,   323.025,   356.276,    23.633,   -18.042,     0.000,
 37641.042,   191.014,   158.142,    10.423,     0.000,     0.000,     0.000,     0.250,    65.642,  1448.550,     1.000,     9.936,   -55.227,     0.000,   305.718,   356.300,     9.369,    -4.724,     0.000,
 37642.042,    63.426,   158.305,    10.412,     0.000,     0.000,     0.000,     0.250,    65.805,  1448.550,     1.000,     9.918,   -46.462,     0.000,   310.405,   356.242,    24.734,   -24.108,     0.000,
 37643.042,   102.559,   158.472,    10.381,     0.000,     0.000,     0.000,     0.250,    65.972,  1448.550,     1.000,     9.942,   -66.876,     0.000,   297.575,   356.086,     8.848,    -0.483,     0.000,
 37644.043,   287.075,   158.584,    10.392,     0.000,     0.000,     0.000,     0.250,    66.084,  1506.420,     1.000,     9.919,   -61.383,     0.000,   300.431,   356.145,     8.388,    -2.719,     0.000,
 37645.042,   153.710,   158.702,    10.386,     0.000,     0.000,     0.000,     0.250,    66.202,  1506.420,     1.000,     9.895,   -72.154,     0.000,   285.465,   356.110,     4.094,    -2.585,     0.000,
 37646.046,   470.395,   158.792,    10.384,     0.000,     0.000,     0.000,     0.250,    66.292,  1506.420,     1.000,     9.882,  -112.916,     0.000,   263.242,   356.106,    16.676,     3.376,     0.000,
 37647.047,   600.000,   158.879,    10.406,     0.000,     0.000,     0.000,     0.250,    66.379,  1506.420,     1.000,     9.860,   -75.467,     0.000,   297.393,   356.229,    17.294,    -0.664,     0.000,
 37648.044,   299.287,   158.967,    10.381,     0.000,     0.000,     0.000,     0.250,    66.467,  1506.420,     1.000,     9.858,   -88.525,     0.000,   278.735,   356.088,    14.385,    -3.213,     0.000,
 37649.047,   600.000,   159.015,    10.473,     0.000,     0.000,     0.000,     0.250,    66.515,  1506.420,     1.000,     9.878,   -82.727,     0.000,   278.174,   356.586,    11.401,    -7.086,     0.000,
 37650.047,   551.901,   159.068,    10.533,     0.000,     0.000,     0.000,     0.250,    66.568,  1506.420,     1.000,     9.880,   -72.760,     0.000,   291.413,   356.884,    23.179,   -15.890,     0.000,
