$STR WITHDRAWAL AT SEG31                                     ELEV OF WITHDRAWAL CENTERLINE:137.     

JDAY,T(C)
 35564.042,   10.71
 35564.086,   10.72
 35564.127,   10.73
 35564.170,   10.73
 35564.210,   10.73
 35564.250,   10.74
 35564.295,   10.74
 35564.337,   10.72
 35564.379,   10.69
 35564.420,   10.66
 35564.458,   10.65
 35564.500,   10.65
 35564.544,   10.66
 35564.587,   10.67
 35564.630,   10.67
 35564.670,   10.69
 35564.710,   10.73
 35564.753,   10.75
 35564.792,   10.77
 35564.836,   10.76
 35564.875,   10.76
 35564.919,   10.78
 35564.960,   10.77
 35565.000,   10.76
 35565.044,   10.79
 35565.086,   10.83
 35565.126,   10.83
 35565.170,   10.77
 35565.210,   10.71
 35565.250,   10.69
 35565.294,   10.66
 35565.335,   10.63
 35565.378,   10.60
 35565.418,   10.60
 35565.460,   10.62
 35565.500,   10.62
 35565.542,   10.65
 35565.586,   10.66
 35565.626,   10.68
 35565.668,   10.71
 35565.710,   10.76
 35565.753,   10.79
 35565.795,   10.79
 35565.835,   10.80
 35565.878,   10.86
 35565.919,   11.01
 35565.960,   11.06
 35566.000,   11.00
 35566.044,   10.94
 35566.084,   10.86
 35566.125,   10.81
 35566.170,   10.80
 35566.210,   10.79
 35566.250,   10.78
 35566.295,   10.77
 35566.333,   10.77
 35566.378,   10.78
 35566.417,   10.81
 35566.460,   10.87
 35566.500,   10.92
 35566.545,   10.93
 35566.584,   10.92
 35566.630,   10.93
 35566.670,   10.94
 35566.710,   10.90
 35566.753,   10.85
 35566.792,   10.83
 35566.836,   10.88
 35566.880,   10.96
 35566.918,   11.03
 35566.960,   11.12
 35567.000,   11.20
 35567.042,   11.18
 35567.083,   10.99
 35567.129,   10.81
 35567.170,   10.71
 35567.208,   10.63
 35567.250,   10.55
 35567.294,   10.54
 35567.334,   10.59
 35567.380,   10.73
 35567.417,   10.84
 35567.460,   10.89
 35567.500,   10.86
 35567.544,   10.82
 35567.584,   10.81
 35567.627,   10.80
 35567.670,   10.80
 35567.710,   10.80
 35567.751,   10.79
 35567.795,   10.77
 35567.837,   10.77
 35567.877,   10.80
 35567.920,   10.87
 35567.961,   10.96
 35568.000,   11.03
 35568.046,   11.02
