JDAY,SEG   2,SEG   3,SEG   4,SEG   5,SEG   6,SEG   7,SEG   8,SEG   9,SEG  10,SEG  11,SEG  12,SEG  13,SEG  14,SEG  15,SEG  16,SEG  17,SEG  18,SEG  19,SEG  20,SEG  21,SEG  22,SEG  23,SEG  24,SEG  25,SEG  26,SEG  27,SEG  28,SEG  29,SEG  30,SEG  31,SEG  34,SEG  35,SEG  36,SEG  39,SEG  40,SEG  41,SEG  44,SEG  45,SEG
 35536.042, 162.760, 162.760, 162.760, 163.058, 162.819, 162.789, 162.777, 162.770, 162.766, 162.764, 162.763, 162.762, 162.762, 162.761, 162.761, 162.760, 162.760, 162.760, 162.759, 162.759, 162.759, 162.759, 162.759, 162.758, 162.758, 162.758, 162.757, 162.757, 162.756, 162.755, 162.760, 162.759, 162.759, 162.758, 162.758, 162.758, 162.758, 162.758,
 35537.042, 162.760, 162.760, 162.760, 162.563, 162.571, 162.583, 162.584, 162.587, 162.588, 162.588, 162.588, 162.588, 162.589, 162.589, 162.589, 162.589, 162.590, 162.589, 162.590, 162.590, 162.590, 162.590, 162.590, 162.591, 162.591, 162.591, 162.592, 162.592, 162.592, 162.592, 162.760, 162.590, 162.590, 162.591, 162.591, 162.591, 162.591, 162.591,
 35538.042, 162.760, 162.760, 162.760, 162.360, 162.362, 162.377, 162.379, 162.381, 162.381, 162.382, 162.382, 162.382, 162.382, 162.382, 162.382, 162.382, 162.382, 162.382, 162.382, 162.382, 162.382, 162.382, 162.382, 162.382, 162.382, 162.382, 162.382, 162.382, 162.382, 162.382, 162.760, 162.382, 162.382, 162.382, 162.382, 162.382, 162.382, 162.382,
 35539.042, 162.760, 162.760, 162.760, 162.175, 162.133, 162.149, 162.151, 162.153, 162.153, 162.153, 162.154, 162.154, 162.154, 162.154, 162.154, 162.154, 162.154, 162.154, 162.154, 162.155, 162.155, 162.155, 162.156, 162.156, 162.156, 162.156, 162.156, 162.156, 162.156, 162.156, 162.760, 162.154, 162.155, 162.156, 162.156, 162.156, 162.155, 162.156,
 35540.042, 162.760, 162.760, 162.760, 162.086, 161.879, 161.896, 161.897, 161.898, 161.900, 161.900, 161.900, 161.900, 161.900, 161.900, 161.901, 161.901, 161.902, 161.902, 161.902, 161.902, 161.902, 161.902, 161.903, 161.903, 161.903, 161.903, 161.903, 161.903, 161.903, 161.904, 162.760, 161.902, 161.902, 161.902, 161.902, 161.903, 161.903, 161.903,
 35541.043, 162.760, 162.760, 162.760, 161.894, 161.530, 161.544, 161.545, 161.547, 161.548, 161.548, 161.548, 161.548, 161.548, 161.549, 161.549, 161.549, 161.550, 161.550, 161.550, 161.550, 161.550, 161.551, 161.551, 161.551, 161.551, 161.551, 161.551, 161.551, 161.551, 161.552, 162.760, 161.550, 161.550, 161.550, 161.550, 161.550, 161.550, 161.550,
 35542.042, 162.760, 162.760, 162.760, 162.439, 161.202, 161.213, 161.211, 161.210, 161.211, 161.211, 161.210, 161.210, 161.210, 161.211, 161.211, 161.211, 161.212, 161.212, 161.213, 161.213, 161.213, 161.213, 161.214, 161.214, 161.214, 161.214, 161.214, 161.214, 161.214, 161.214, 162.760, 161.213, 161.213, 161.213, 161.213, 161.213, 161.213, 161.213,
 35543.046, 162.760, 162.760, 162.760, 163.316, 160.971, 160.980, 160.980, 160.981, 160.982, 160.983, 160.983, 160.983, 160.984, 160.984, 160.984, 160.985, 160.985, 160.986, 160.986, 160.986, 160.986, 160.986, 160.986, 160.986, 160.986, 160.986, 160.986, 160.987, 160.987, 160.987, 162.760, 160.986, 160.986, 160.986, 160.986, 160.986, 160.986, 160.986,
 35544.046, 162.760, 162.760, 162.760, 163.316, 160.784, 160.796, 160.796, 160.796, 160.798, 160.799, 160.799, 160.799, 160.799, 160.799, 160.800, 160.800, 160.801, 160.801, 160.802, 160.802, 160.802, 160.802, 160.802, 160.802, 160.802, 160.802, 160.802, 160.802, 160.802, 160.803, 162.760, 160.802, 160.802, 160.801, 160.802, 160.802, 160.801, 160.801,
 35545.046, 162.760, 162.760, 162.760, 163.316, 160.655, 160.669, 160.670, 160.670, 160.671, 160.672, 160.672, 160.672, 160.673, 160.673, 160.673, 160.674, 160.674, 160.675, 160.675, 160.675, 160.676, 160.676, 160.676, 160.676, 160.676, 160.676, 160.676, 160.676, 160.676, 160.676, 162.760, 160.675, 160.675, 160.676, 160.676, 160.676, 160.676, 160.676,
 35546.046, 162.760, 162.760, 162.760, 163.316, 160.588, 160.602, 160.603, 160.603, 160.605, 160.606, 160.606, 160.606, 160.606, 160.606, 160.607, 160.607, 160.608, 160.609, 160.610, 160.610, 160.610, 160.610, 160.610, 160.610, 160.610, 160.610, 160.610, 160.610, 160.610, 160.609, 162.760, 160.610, 160.610, 160.611, 160.610, 160.610, 160.611, 160.610,
 35547.046, 162.760, 162.760, 162.760, 163.316, 160.598, 160.613, 160.614, 160.614, 160.615, 160.617, 160.617, 160.617, 160.617, 160.618, 160.618, 160.619, 160.620, 160.621, 160.622, 160.622, 160.622, 160.622, 160.621, 160.621, 160.622, 160.621, 160.621, 160.621, 160.621, 160.621, 162.760, 160.621, 160.622, 160.622, 160.622, 160.622, 160.621, 160.621,
 35548.045, 162.760, 162.760, 162.760, 163.316, 160.649, 160.636, 160.637, 160.638, 160.639, 160.641, 160.641, 160.641, 160.641, 160.642, 160.642, 160.643, 160.643, 160.644, 160.645, 160.645, 160.645, 160.645, 160.645, 160.645, 160.645, 160.645, 160.645, 160.645, 160.645, 160.644, 162.760, 160.645, 160.645, 160.646, 160.645, 160.645, 160.645, 160.645,
 35549.046, 162.760, 162.760, 162.760, 163.316, 160.579, 160.588, 160.589, 160.589, 160.591, 160.592, 160.592, 160.592, 160.592, 160.592, 160.593, 160.593, 160.593, 160.594, 160.595, 160.595, 160.595, 160.595, 160.595, 160.595, 160.595, 160.595, 160.595, 160.595, 160.595, 160.594, 162.760, 160.595, 160.595, 160.596, 160.596, 160.595, 160.595, 160.595,
 35550.046, 162.760, 162.760, 162.760, 163.316, 160.384, 160.377, 160.377, 160.379, 160.380, 160.380, 160.380, 160.381, 160.381, 160.381, 160.381, 160.382, 160.382, 160.383, 160.384, 160.384, 160.384, 160.384, 160.384, 160.384, 160.384, 160.384, 160.384, 160.384, 160.384, 160.383, 162.760, 160.385, 160.385, 160.384, 160.384, 160.384, 160.384, 160.384,
 35551.046, 162.760, 162.760, 162.760, 163.316, 160.081, 160.089, 160.090, 160.091, 160.093, 160.094, 160.094, 160.094, 160.094, 160.094, 160.095, 160.095, 160.096, 160.096, 160.096, 160.097, 160.097, 160.097, 160.097, 160.097, 160.097, 160.097, 160.097, 160.097, 160.097, 160.097, 162.760, 160.097, 160.097, 160.097, 160.097, 160.097, 160.097, 160.097,
