DateTime,Weighted_Temp_2024,Weighted_Temp_2023,Weighted_Temp_2022,Weighted_Temp_2021,Weighted_Temp_2020,Weighted_Temp_2019,Weighted_Temp_2018,Weighted_Temp_2017
2022-03-10 00:00:00,8.09,8.09,8.09,8.09,8.09,8.09,8.09,8.09
2022-03-10 01:00:00,8.08,8.07,8.08,8.08,8.08,8.08,8.08,8.08
2022-03-10 02:00:00,8.08,8.06,8.09,8.09,8.09,8.09,8.09,8.09
2022-03-10 03:00:00,8.08,8.05,8.09,8.09,8.09,8.09,8.09,8.09
2022-03-10 04:00:00,8.07,8.05,8.09,8.09,8.09,8.09,8.09,8.09
2022-03-10 05:00:00,8.07,8.07,8.09,8.09,8.09,8.09,8.09,8.09
2022-03-10 06:00:00,8.08,8.08,8.09,8.09,8.09,8.09,8.09,8.09
2022-03-10 07:00:00,8.08,8.09,8.09,8.09,8.09,8.09,8.09,8.09
2022-03-10 08:00:00,8.08,8.09,8.09,8.09,8.09,8.09,8.09,8.09
2022-03-10 09:00:00,8.09,8.08,8.09,8.09,8.09,8.09,8.09,8.09
2022-03-10 10:00:00,8.09,8.07,8.08,8.08,8.08,8.08,8.09,8.08
2022-03-10 11:00:00,8.09,8.06,8.07,8.07,8.07,8.07,8.09,8.07
2022-03-10 12:00:00,8.09,8.06,8.07,8.07,8.07,8.07,8.09,8.07
2022-03-10 13:00:00,8.09,8.07,8.07,8.07,8.07,8.07,8.09,8.07
2022-03-10 14:00:00,8.09,8.09,8.07,8.07,8.07,8.07,8.09,8.07
2022-03-10 15:00:00,8.1,8.1,8.07,8.07,8.07,8.07,8.08,8.07
2022-03-10 16:00:00,8.1,8.12,8.07,8.07,8.07,8.07,8.08,8.07
2022-03-10 17:00:00,8.1,8.12,8.07,8.07,8.07,8.07,8.08,8.07
2022-03-10 18:00:00,8.11,8.12,8.07,8.07,8.07,8.07,8.09,8.07
2022-03-10 19:00:00,8.11,8.13,8.08,8.08,8.08,8.08,8.09,8.08
2022-03-10 20:00:00,8.11,8.15,8.09,8.1,8.1,8.1,8.09,8.1
2022-03-10 21:00:00,8.11,8.17,8.11,8.12,8.12,8.12,8.09,8.12
2022-03-10 22:00:00,8.12,8.18,8.14,8.14,8.14,8.14,8.1,8.14
2022-03-10 23:00:00,8.12,8.18,8.16,8.16,8.16,8.16,8.1,8.16
2022-03-11 00:00:00,8.11,8.16,8.18,8.17,8.17,8.17,8.11,8.17
2022-03-11 01:00:00,8.11,8.14,8.18,8.18,8.18,8.18,8.11,8.18
2022-03-11 02:00:00,8.1,8.13,8.19,8.18,8.18,8.18,8.12,8.18
2022-03-11 03:00:00,8.09,8.12,8.18,8.17,8.17,8.17,8.11,8.17
2022-03-11 04:00:00,8.08,8.12,8.16,8.16,8.16,8.16,8.11,8.16
2022-03-11 05:00:00,8.08,8.13,8.14,8.14,8.14,8.14,8.11,8.14
2022-03-11 06:00:00,8.08,8.15,8.12,8.12,8.12,8.12,8.11,8.12
2022-03-11 07:00:00,8.09,8.15,8.1,8.11,8.11,8.11,8.11,8.11
2022-03-11 08:00:00,8.1,8.15,8.09,8.1,8.1,8.1,8.12,8.1
2022-03-11 09:00:00,8.1,8.13,8.07,8.08,8.08,8.08,8.11,8.08
2022-03-11 10:00:00,8.11,8.11,8.06,8.07,8.07,8.07,8.11,8.07
2022-03-11 11:00:00,8.11,8.1,8.05,8.06,8.06,8.06,8.11,8.06
2022-03-11 12:00:00,8.11,8.09,8.05,8.05,8.05,8.05,8.11,8.05
2022-03-11 13:00:00,8.1,8.09,8.04,8.05,8.05,8.04,8.1,8.05
2022-03-11 14:00:00,8.1,8.09,8.05,8.05,8.04,8.04,8.09,8.04
2022-03-11 15:00:00,8.1,8.08,8.05,8.05,8.05,8.05,8.09,8.05
2022-03-11 16:00:00,8.1,8.07,8.05,8.05,8.05,8.05,8.08,8.05
2022-03-11 17:00:00,8.1,8.06,8.06,8.05,8.05,8.05,8.07,8.05
2022-03-11 18:00:00,8.09,8.06,8.06,8.05,8.05,8.05,8.07,8.05
2022-03-11 19:00:00,8.09,8.06,8.07,8.06,8.07,8.06,8.08,8.06
2022-03-11 20:00:00,8.1,8.06,8.09,8.08,8.08,8.08,8.1,8.08
2022-03-11 21:00:00,8.1,8.07,8.11,8.1,8.1,8.1,8.11,8.1
2022-03-11 22:00:00,8.1,8.06,8.12,8.12,8.12,8.12,8.12,8.12
2022-03-11 23:00:00,8.1,8.05,8.13,8.13,8.13,8.13,8.12,8.13
2022-03-12 00:00:00,8.1,8.04,8.14,8.14,8.14,8.13,8.11,8.13
2022-03-12 01:00:00,8.1,8.04,8.14,8.14,8.14,8.13,8.11,8.14
2022-03-12 02:00:00,8.1,8.04,8.14,8.14,8.15,8.14,8.11,8.14
2022-03-12 03:00:00,8.1,8.05,8.14,8.15,8.15,8.14,8.11,8.15
