Model_Run,Year,Mean_Temp,Max_Temp,Min_Temp,Days_Above_58F,Max_Temp_Time,Min_Temp_Time,First_Hour_Above_58F,Last_Hour_Above_58F
2022_Analog_Obs,2024,14.41,15.9,13.2,42.92,2022-11-12 21:00:00,2022-09-05 03:00:00,2022-10-21 02:00:00,2022-12-03 07:00:00
2022_Analog_Obs,2023,12.9,14.48,11.74,0.46,2022-11-19 21:00:00,2022-09-05 10:00:00,2022-11-19 21:00:00,2022-11-21 15:00:00
2022_Analog_Obs,2022,14.67,16.07,13.59,50.08,2022-11-08 10:00:00,2022-12-04 23:00:00,2022-10-11 12:00:00,2022-12-01 21:00:00
2022_Analog_Obs,2021,15.1,16.11,13.91,63.92,2022-11-14 22:00:00,2022-09-05 03:00:00,2022-09-20 00:00:00,2022-12-04 23:00:00
2022_Analog_Obs,2020,14.72,15.9,13.58,52.08,2022-11-08 01:00:00,2022-09-05 10:00:00,2022-10-08 04:00:00,2022-12-03 05:00:00
2022_Analog_Obs,2019,14.04,15.28,12.97,32.54,2022-11-17 20:00:00,2022-09-05 04:00:00,2022-10-29 18:00:00,2022-12-01 14:00:00
2022_Analog_Obs,2018,14.12,15.65,12.8,36.46,2022-11-14 13:00:00,2022-09-05 14:00:00,2022-10-27 04:00:00,2022-12-03 06:00:00
2022_Analog_Obs,2017,14.03,15.34,12.84,33.79,2022-11-12 23:00:00,2022-09-05 04:00:00,2022-10-29 10:00:00,2022-12-03 05:00:00
2022_Madera_Analog,2024,13.67,15.39,12.23,28.88,2022-11-16 21:00:00,2022-09-05 02:00:00,2022-11-04 02:00:00,2022-12-02 22:00:00
2022_Madera_Analog,2023,12.21,14.16,10.89,0.0,2022-11-23 13:00:00,2022-09-05 11:00:00,,
2022_Madera_Analog,2022,13.92,15.56,12.57,31.38,2022-11-14 02:00:00,2022-09-05 00:00:00,2022-10-30 07:00:00,2022-11-30 15:00:00
2022_Madera_Analog,2021,14.33,15.82,12.86,42.21,2022-11-17 09:00:00,2022-09-08 12:00:00,2022-10-20 09:00:00,2022-12-03 12:00:00
2022_Madera_Analog,2020,13.97,15.42,12.6,33.42,2022-11-14 21:00:00,2022-09-05 03:00:00,2022-10-28 07:00:00,2022-12-03 01:00:00
2022_Madera_Analog,2019,13.37,15.06,12.13,19.62,2022-11-18 23:00:00,2022-09-05 04:00:00,2022-11-08 23:00:00,2022-11-30 12:00:00
2022_Madera_Analog,2018,13.32,15.16,11.78,24.92,2022-11-17 03:00:00,2022-09-05 13:00:00,2022-11-06 13:00:00,2022-12-02 15:00:00
2022_Madera_Analog,2017,13.32,15.02,11.91,22.29,2022-11-29 22:00:00,2022-09-06 06:00:00,2022-11-08 11:00:00,2022-12-02 10:00:00
