Elev_m,Temp_C,TDS_mgl,DO_mgl,,,Elev_ft,Temp_F
175.2151944,18.65833333,31,9.2,,,574.853,65.585
174.3510864,18.60444444,31,9.44,,,572.018,65.488
173.3787744,18.57222222,31,9.47,,,568.828,65.43
172.4457816,18.51777778,31,9.49,,,565.767,65.332
171.582588,18.38444444,31,9.5,,,562.935,65.092
170.735244,18.21055556,31,9.52,,,560.155,64.779
167.9591256,14.16944444,32,10.06,,,551.047,57.505
164.7090432,12.60722222,28,10.32,,,540.384,54.693
161.6845128,12.26,29,10.25,,,530.461,54.068
158.733744,11.96,28,10.31,,,520.78,53.528
155.3928312,11.60722222,30,10.27,,,509.819,52.893
152.467056,11.45944444,30,10.23,,,500.22,52.627
149.5528632,11.09388889,31,10.17,,,490.659,51.969
146.489928,10.88222222,32,10.1,,,480.61,51.588
143.5659816,10.40444444,33,9.99,,,471.017,50.728
140.442696,9.82,33,9.84,,,460.77,49.676
137.4605328,9.64,33,9.76,,,450.986,49.352
134.28726,9.512777778,33,9.73,,,440.575,49.123
131.1603168,9.419444444,33,9.72,,,430.316,48.955
128.2189968,9.29,33,9.64,,,420.666,48.722
125.1725208,9.208333333,33,9.58,,,410.671,48.575
121.9645008,9.130555556,34,9.52,,,400.146,48.435
118.794276,9.06,34,9.33,,,389.745,48.308
115.8121128,9.037777778,34,9.27,,,379.961,48.268
112.9280952,8.957222222,34,9.15,,,370.499,48.123
109.8703416,8.894444444,34,8.93,,,360.467,48.01
106.8650136,8.861666667,34,8.71,,,350.607,47.951
103.7947632,8.833333333,34,8.5,,,340.534,47.9
100.815648,8.824444444,34,8.26,,,330.76,47.884
97.767648,8.825,34,8.18,,,320.76,47.885
96.3536808,8.831111111,35,7.98,,,316.121,47.896
