Elev_m,Temp_C,TDS_mgl,DO_mgl
166.1257536,24.55722222,36,8.75
166.0455912,24.47,36,8.8
165.8307072,23.755,36,8.86
164.2634256,23.25055556,36,9.05
163.7495328,23.09388889,36,9.08
162.4428552,23.02888889,36,9.08
161.339784,22.99,36,9.08
160.756092,22.92833333,36,9
159.6170544,22.80555556,36,8.93
159.1272408,20.68111111,33,9.18
155.4803088,16.91,29,9.63
152.5959864,16.68277778,27,9.59
149.480016,15.79444444,27,9.01
146.5045584,15.46555556,27,8.9
143.2907472,14.69055556,28,8.35
140.5740648,13.82166667,30,8.08
137.2709472,13.41722222,30,7.92
134.3058528,12.79833333,31,7.84
131.3371008,12.46555556,32,7.84
128.070864,12.32722222,32,7.84
125.0143296,12.03555556,33,7.85
122.0407008,11.87944444,33,7.88
119.1390048,11.44888889,34,7.98
115.9632936,11.03833333,35,8.12
112.9366296,10.95111111,35,8.15
110.060232,10.65888889,36,8.06
106.8122832,10.14666667,38,7.9
104.1208992,9.792222222,39,7.35
101.2402344,9.588333333,40,6.67
99.207828,9.497777778,42,5.77
